Date,Price_MSFT,Price_AMZN,Price_AAPL,Price_FB,MSFT_size,AMZN_size,AAPL_size,FB_size,total_value,periodic_reinvestment,reinvestment_due_to_loss,MSFT_change,AMZN_change,AAPL_change,FB_change,total_value_percentage,Drawdown
2018-01-02,81.53023529052734,1189.010009765625,41.13575744628906,181.4199981689453,2500.0,2500.0,2500.0,2500.0,10000.0,0.0,0.0,2500.0,2500.0,2500.0,2500.0,0.0,0.0
2018-01-03,81.90966796875,1204.199951171875,41.12858963012695,184.6699981689453,2511.6347228997492,2531.9382117927757,2499.5643804437373,2544.7855808731388,10087.92,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0
2018-01-04,82.6305923461914,1209.5899658203125,41.31962966918945,184.3300018310547,2533.740766592388,2543.2712001700143,2511.1747196548204,2540.100370569394,10128.29,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0
2018-01-05,83.6550521850586,1229.1400146484375,41.79007339477539,186.85000610351562,2565.154261083622,2584.376928186506,2539.765643633806,2574.8264798447644,10264.12,0.0,0.0,0.0,0.0,0.0,0.0,2.64,0.0
2018-01-08,83.74040985107422,1246.8699951171875,41.634849548339844,188.27999877929688,2567.7716233944093,2621.655799523016,2530.3320111889543,2594.5320344999022,10314.29,0.0,0.0,0.0,0.0,0.0,0.0,3.14,0.0
2018-01-09,83.68350982666016,1252.699951171875,41.63007354736328,187.8699951171875,2566.026871149696,2633.9138040957378,2530.041752708677,2588.8821107559997,10318.86,0.0,0.0,0.0,0.0,0.0,0.0,3.19,0.0
2018-01-10,83.30408477783203,1254.3299560546875,41.620513916015625,187.83999633789062,2554.392382193664,2637.3410352994806,2529.4607720764293,2588.4687222156012,10309.66,0.0,0.0,0.0,0.0,0.0,0.0,3.1,-0.08917286287087878
2018-01-11,83.55069732666016,1276.6800537109375,41.85693359375,187.77000427246094,2561.954378916393,2684.3341166711325,2543.8290305218384,2587.5042190442846,10377.62,0.0,0.0,0.0,0.0,0.0,0.0,3.78,0.0
2018-01-12,84.9925537109375,1305.199951171875,42.289161682128906,179.3699951171875,2606.1667002453883,2744.299754526779,2570.0974229869134,2471.750591549329,10392.31,0.0,0.0,0.0,0.0,0.0,0.0,3.92,0.0
2018-01-16,83.80683135986328,1304.8599853515625,42.07423782348633,178.38999938964844,2569.8083373984955,2743.5849459517453,2557.035559538598,2458.2460752690117,10328.67,0.0,0.0,0.0,0.0,0.0,0.0,3.29,-0.6123712993723052
2018-01-17,85.5047607421875,1295.0,42.76915740966797,177.60000610351562,2621.8727456598526,2722.853443965681,2599.2688639264534,2447.359826590446,10391.35,0.0,0.0,0.0,0.0,0.0,0.0,3.91,-0.009233642503903017
2018-01-18,85.46682739257812,1293.3199462890625,42.80735397338867,179.8000030517578,2620.7095774967106,2719.320980619833,2601.5902362611296,2477.6761777431107,10419.3,0.0,0.0,0.0,0.0,0.0,0.0,4.19,0.0
2018-01-19,85.37199401855469,1294.5799560546875,42.61631393432617,181.2899932861328,2617.801657088855,2721.9702639632787,2589.9798970500465,2498.2085094790455,10427.96,0.0,0.0,0.0,0.0,0.0,0.0,4.28,0.0
2018-01-22,86.89918518066406,1327.31005859375,42.26766586303711,185.3699951171875,2664.630638897485,2790.7882349438473,2568.79102798982,2554.4316639305084,10578.64,0.0,0.0,0.0,0.0,0.0,0.0,5.79,0.0
2018-01-23,87.17425537109375,1362.5400390625,42.27721405029297,189.35000610351562,2673.0652456862886,2864.862423090704,2569.3713131145273,2609.2769266702558,10716.58,0.0,0.0,0.0,0.0,0.0,0.0,7.17,0.0
2018-01-24,87.098388671875,1357.510009765625,41.60380172729492,186.5500030517578,2670.738909360004,2854.2863361453415,2528.4450992313064,2570.6923841719376,10624.16,0.0,0.0,0.0,0.0,0.0,0.0,6.24,-0.8623386839387237
2018-01-25,87.58216094970703,1377.949951171875,40.86113739013672,187.47999572753906,2685.573046539547,2897.2631429812213,2483.310137384068,2583.507849461977,10649.65,0.0,0.0,0.0,0.0,0.0,0.0,6.5,-0.6244693525802036
2018-01-26,89.22320556640625,1402.050048828125,40.95664978027344,190.0,2735.893170443626,2947.9357560339085,2489.114843317916,2618.2339587373476,10791.18,0.0,0.0,0.0,0.0,0.0,0.0,7.91,0.0
2018-01-29,89.09039306640625,1417.6800537109375,40.10891342163086,185.97999572753906,2731.820678210323,2980.799240685929,2437.594194904582,2562.837581366682,10713.05,0.0,0.0,0.0,0.0,0.0,0.0,7.13,-0.7239806009191052
2018-01-30,87.97107696533203,1437.8199462890625,39.872501373291016,187.1199951171875,2697.4985614800817,3023.1451679966985,2423.2264001308668,2578.5469767083523,10722.42,0.0,0.0,0.0,0.0,0.0,0.0,7.22,-0.6371929361796091
2018-01-31,90.12435150146484,1450.8900146484375,39.98234558105469,186.88999938964844,2763.5254326297772,3050.6261569119038,2429.9021133413926,2575.3775944756826,10819.43,0.0,0.0,0.0,0.0,0.0,0.0,8.19,0.0
2018-02-01,89.41291046142578,1390.0,40.0659294128418,193.08999633789062,2765.0265399041778,2765.0265399041778,2765.0265399041778,2765.0265399041778,11060.11,300.0,0.0,23.32,-157.57,330.04,104.21,10.6,0.0
2018-02-02,87.06043243408203,1429.949951171875,38.327457427978516,190.27999877929688,2692.2779385380127,2844.496090449581,2645.0512579758324,2724.7876980483766,10906.61,0.0,0.0,0.0,0.0,0.0,0.0,9.07,-1.3878092342852089
2018-02-05,83.47482299804688,1390.0,37.369876861572266,181.25999450683594,2581.3956822597625,2765.0265399041778,2578.966788726977,2595.622274274895,10521.01,0.0,0.0,0.0,0.0,0.0,0.0,5.21,-4.874228752154952
2018-02-06,86.63358306884766,1442.8399658203125,38.93163299560547,185.30999755859375,2679.077945188915,2870.1372649838854,2686.746571268996,2653.617852177373,10889.58,0.0,0.0,0.0,0.0,0.0,0.0,8.9,-1.5418163581483402
2018-02-07,85.00203704833984,1416.780029296875,38.09822082519531,180.17999267578125,2628.6236201423612,2818.298116699337,2629.231200887381,2580.1567722672944,10656.31,0.0,0.0,0.0,0.0,0.0,0.0,6.56,-3.650927430468087
2018-02-08,80.63858032226562,1350.5,37.04987716674805,171.5800018310547,2493.6870255157532,2686.452044705462,2556.8829967891165,2457.0058924724117,10194.03,0.0,0.0,0.0,0.0,0.0,0.0,1.94,-7.830649974195014
2018-02-09,83.64556121826172,1339.5999755859375,37.50305938720703,176.11000061035156,2586.675632412752,2664.7694139209393,2588.157969948236,2521.8749539880105,10361.48,0.0,0.0,0.0,0.0,0.0,0.0,3.61,-6.316649942273123
2018-02-12,84.54671478271484,1386.22998046875,39.013633728027344,176.41000366210938,2614.543123912395,2757.527112522981,2692.4055988957302,2526.1709631852505,10590.65,0.0,0.0,0.0,0.0,0.0,0.0,5.91,-4.244618942397416
2018-02-13,85.21072387695312,1414.510009765625,39.40445327758789,173.14999389648438,2635.0771022700133,2813.7825309079644,2719.3768046729247,2479.487998281537,10647.72,0.0,0.0,0.0,0.0,0.0,0.0,6.48,-3.728551223043264
2018-02-14,86.54495239257812,1451.050048828125,40.1309814453125,179.52000427246094,2676.3371086489765,2886.4689897403014,2769.5159052800013,2570.7058142382916,10903.03,0.0,0.0,0.0,0.0,0.0,0.0,9.03,-1.4202245389169366
2018-02-15,88.3080825805664,1461.760009765625,41.478511810302734,179.9600067138672,2730.860574420701,2907.7735409874413,2862.511557125046,2577.0065985936963,11078.15,0.0,0.0,0.0,0.0,0.0,0.0,10.78,0.0
2018-02-16,87.6790771484375,1448.68994140625,41.344234466552734,177.36000061035156,2711.4090578040864,2881.7741986190717,2853.244820408398,2539.77481022309,10986.2,0.0,0.0,0.0,0.0,0.0,0.0,9.86,-0.8300065012816993
2018-02-20,88.36526489257812,1468.3499755859375,41.205169677734375,176.00999450683594,2732.6288941131206,2920.882483714222,2843.6476929366545,2520.4428780875623,11017.6,0.0,0.0,0.0,0.0,0.0,0.0,10.18,-0.5465742011250163
